Revenue Month,State Sales Tax (2.9%) 2,Retail Marijuana Sales Tax 3,Retail Marijuana Excise Tax (15%),License & Fees,Total Taxes & Fees,Year to Date,Total to Date,,,,,,
Feb 2014,"$1,330,209 ","$1,401,568 ","$195,318 ","$592,661 ","$3,519,756 ","$3,519,756 ","$3,519,756 ",,,,,,
Mar 2014,"$1,460,429 ","$1,434,916 ","$339,615 ","$857,615 ","$4,092,575 ","$7,612,330 ","$7,612,330 ",,,,,,
Apr 2014,"$1,569,405 ","$1,898,685 ","$609,907 ","$902,995 ","$4,980,992 ","$12,593,322 ","$12,593,322 ",,,,,,
May 2014,"$1,559,710 ","$2,217,607 ","$734,351 ","$761,687 ","$5,273,355 ","$17,866,677 ","$17,866,677 ",,,,,,
Jun 2014,"$1,569,454 ","$2,070,577 ","$1,135,648 ","$940,028 ","$5,715,707 ","$23,582,384 ","$23,582,384 ",,,,,,
Jul 2014,"$1,530,968 ","$2,473,627 ","$969,637 ","$1,547,853 ","$6,522,085 ","$30,104,468 ","$30,104,468 ",,,,,,
Aug 2014,"$1,659,789 ","$2,970,183 ","$1,397,930 ","$1,379,549 ","$7,407,450 ","$37,511,919 ","$37,511,919 ",,,,,,
Sep 2014,"$1,892,780 ","$3,307,078 ","$1,464,796 ","$1,076,513 ","$7,741,167 ","$45,253,086 ","$45,253,086 ",,,,,,
Oct 2014,"$1,795,545 ","$2,940,346 ","$1,446,105 ","$1,050,874 ","$7,232,870 ","$52,485,956 ","$52,485,956 ",,,,,,
Nov 2014,"$1,816,579 ","$3,244,159 ","$1,718,273 ","$863,790 ","$7,642,800 ","$60,128,755 ","$60,128,755 ",,,,,,
Dec 2014,"$1,649,935 ","$2,933,821 ","$1,363,689 ","$1,518,123 ","$7,465,568 ","$67,594,323 ","$67,594,323 ",,,,,,
Jan 2015,"$1,874,283 ","$3,472,230 ","$1,965,731 ","$1,245,897 ","$8,558,141 ","$8,558,141 ","$76,152,465 ",,,,,,
Feb 2015,"$1,808,419 ","$3,547,864 ","$2,349,219 ","$1,096,793 ","$8,802,295 ","$17,360,436 ","$84,954,760 ",,,,,,
Mar 2015,"$1,919,649 ","$3,792,120 ","$2,123,091 ","$1,264,534 ","$9,099,395 ","$26,459,831 ","$94,054,154 ",,,,,,
Apr 2015,"$2,093,101 ","$4,282,160 ","$2,587,352 ","$1,017,030 ","$9,979,643 ","$36,439,474 ","$104,033,797 ",,,,,,
May 2015,"$2,084,081 ","$4,390,362 ","$3,103,722 ","$1,039,145 ","$10,617,311 ","$47,056,785 ","$114,651,108 ",,,,,,
Jun 2015,"$2,100,621 ","$4,663,848 ","$3,506,230 ","$1,055,753 ","$11,326,452 ","$58,383,236 ","$125,977,560 ",,,,,,
Jul 2015,"$2,394,910 ","$4,394,550 ","$2,933,200 ","$1,133,924 ","$10,856,584 ","$69,239,821 ","$136,834,144 ",,,,,,
Aug 2015,"$2,698,757 ","$5,839,613 ","$3,070,314 ","$1,202,753 ","$12,811,437 ","$82,051,258 ","$149,645,581 ",,,,,,
Sep 2015,"$2,821,102 ","$5,813,123 ","$3,328,898 ","$1,218,635 ","$13,181,758 ","$95,233,015 ","$162,827,339 ",,,,,,
Oct 2015,"$2,656,088 ","$4,955,077 ","$2,796,865 ","$1,248,706 ","$11,656,736 ","$106,889,751 ","$174,484,075 ",,,,,,
Nov 2015,"$2,256,473 ","$5,207,345 ","$2,604,672 ","$1,221,521 ","$11,290,012 ","$118,179,763 ","$185,774,087 ",,,,,,
Dec 2015,"$2,261,503 ","$5,258,248 ","$3,048,539 ","$1,663,120 ","$12,231,410 ","$130,411,173 ","$198,005,496 ",,,,,,
Jan 2016,"$2,841,308 ","$5,438,522 ","$3,608,488 ","$1,359,117 ","$13,247,434 ","$13,247,434 ","$211,252,931 ",,,,,,
Feb 2016,"$2,482,086 ","$5,213,363 ","$3,671,875 ","$1,099,292 ","$12,466,617 ","$25,714,051 ","$223,719,547 ",,,,,,
Mar 2016,"$2,599,446 ","$6,163,941 ","$4,015,437 ","$1,417,099 ","$14,195,923 ","$39,909,974 ","$237,915,471 ",,,,,,
Apr 2016,"$2,493,845 ","$5,876,965 ","$3,489,694 ","$1,236,794 ","$13,097,298 ","$53,007,272 ","$251,012,768 ",,,,,,
May 2016,"$3,292,341 ","$6,944,330 ","$5,538,327 ","$1,408,164 ","$17,183,162 ","$70,190,434 ","$268,195,930 ",,,,,,
Jun 2016,"$2,763,721 ","$5,989,446 ","$4,524,531 ","$1,204,950 ","$14,482,648 ","$84,673,082 ","$282,678,578 ",,,,,,
Jul 2016,"$3,130,847 ","$7,414,551 ","$5,378,690 ","$899,760 ","$16,823,849 ","$101,496,931 ","$299,502,427 ",,,,,,
Aug 2016,"$3,440,132 ","$8,263,335 ","$4,711,405 ","$1,159,277 ","$17,574,149 ","$119,071,079 ","$317,076,575 ",,,,,,
Sep 2016,"$3,535,768 ","$8,492,129 ","$6,233,494 ","$884,601 ","$19,145,992 ","$138,217,071 ","$336,222,567 ",,,,,,
Oct 2016,"$3,584,480 ","$8,584,952 ","$6,071,105 ","$1,026,385 ","$19,266,922 ","$157,483,992 ","$355,489,488 ",,,,,,
Nov 2016,"$3,304,756 ","$8,115,943 ","$6,045,927 ","$959,239 ","$18,425,864 ","$175,909,857 ","$373,915,353 ",,,,,,
Dec 2016,"$2,980,227 ","$7,252,646 ","$6,131,564 ","$1,330,517 ","$17,694,953 ","$193,604,810 ","$391,610,306 ",,,,,,
Jan 2017,"$3,217,201 ","$7,746,575 ","$6,174,352 ","$1,026,660 ","$18,164,787 ","$18,164,787 ","$409,775,094 ",,,,,,
Feb 2017,"$3,056,541 ","$8,186,608 ","$5,503,295 ","$977,414 ","$17,723,858 ","$35,888,645 ","$427,498,951 ",,,,,,
Mar 2017,"$3,534,708 ","$7,410,258 ","$5,367,365 ","$1,238,362 ","$17,550,692 ","$53,439,337 ","$445,049,643 ",,,,,,
Apr 2017,"$3,692,930 ","$10,107,620 ","$7,867,853 ","$1,199,185 ","$22,867,587 ","$76,306,924 ","$467,917,230 ",,,,,,
May 2017,"$3,511,986 ","$8,105,694 ","$5,699,916 ","$1,246,343 ","$18,563,939 ","$94,870,862 ","$486,481,169 ",,,,,,
Jun 2017,"$3,579,867 ","$8,744,941 ","$6,238,143 ","$1,099,512 ","$19,662,464 ","$114,533,326 ","$506,143,632 ",,,,,,
Jul 2017,"$3,691,932 ","$9,413,260 ","$6,416,003 ","$916,556 ","$20,437,751 ","$134,971,077 ","$526,581,383 ",,,,,,
Aug 2017,"$1,738,885 ","$15,171,154 ","$5,536,495 ","$1,328,509 ","$23,775,043 ","$158,746,120 ","$550,356,427 ",,,,,,
Sep 2017,"$1,353,514 ","$15,044,994 ","$5,816,240 ","$1,020,759 ","$23,235,507 ","$181,981,627 ","$573,591,933 ",,,,,,
Oct 2017,"$999,826 ","$15,125,886 ","$5,997,375 ","$975,320 ","$23,098,408 ","$205,080,035 ","$596,690,341 ",,,,,,
Nov 2017,"$1,021,820 ","$13,148,705 ","$5,771,416 ","$1,135,051 ","$21,076,993 ","$226,157,028 ","$617,767,334 ",,,,,,
Dec 2017,"$1,137,691 ","$13,307,123 ","$5,576,575 ","$1,190,056 ","$21,211,445 ","$247,368,473 ","$638,978,779 ",,,,,,
Jan 2018,"$1,181,904 ","$13,816,947 ","$5,619,025 ","$1,063,563 ","$21,681,438 ","$21,681,438 ","$660,660,217 ",,,,,,
Feb 2018,"$949,653 ","$13,445,106 ","$5,756,281 ","$983,823 ","$21,134,864 ","$42,816,302 ","$681,795,081 ",,,,,,
Mar 2018,"$812,244 ","$13,853,459 ","$5,233,996 ","$972,122 ","$20,871,820 ","$63,688,122 ","$702,666,901 ",,,,,,
Apr 2018,"$966,721 ","$15,340,824 ","$5,598,581 ","$1,041,014 ","$22,947,141 ","$86,635,263 ","$725,614,042 ",,,,,,
May 2018,"$1,014,752 ","$14,608,085 ","$5,586,593 ","$1,158,277 ","$22,367,707 ","$109,002,969 ","$747,981,749 ",,,,,,
Jun 2018,"$949,473 ","$14,911,288 ","$5,051,632 ","$1,016,300 ","$21,928,692 ","$130,931,662 ","$769,910,441 ",,,,,,
Jul 2018,"$792,289 ","$15,968,272 ","$5,215,347 ","$987,870 ","$22,963,778 ","$153,895,440 ","$792,874,219 ",,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,